"Measure ID","Measure Name","National Rate","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date"
COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,3.5,8,1723,27,1498,,07/01/2020,03/31/2023
MORT_30_AMI,Death rate for heart attack patients,12.6,28,1966,29,1929,,07/01/2020,06/30/2023
MORT_30_CABG,Death rate for CABG surgery patients,2.8,14,872,10,188,,07/01/2020,06/30/2023
MORT_30_COPD,Death rate for COPD patients,9.4,32,2620,46,1771,,07/01/2020,06/30/2023
MORT_30_HF,Death rate for heart failure patients,11.9,126,2809,288,1276,,07/01/2020,06/30/2023
MORT_30_PN,Death rate for pneumonia patients,17.9,185,3235,326,819,,07/01/2020,06/30/2023
MORT_30_STK,Death rate for stroke patients,13.9,47,2104,99,1817,,07/01/2020,06/30/2023
PSI_03,Pressure ulcer rate,0.59,206,2973,70,56,,07/01/2020,06/30/2022
PSI_04,Death rate among surgical inpatients with serious treatable complications,167.87,45,1510,62,1059,,07/01/2020,06/30/2022
PSI_06,Iatrogenic pneumothorax rate,0.25,8,3267,1,32,,07/01/2020,06/30/2022
PSI_08,In-hospital fall with hip fracture rate,0.09,0,3277,0,31,,07/01/2020,06/30/2022
PSI_09,Postoperative hemorrhage or hematoma rate,2.52,45,2928,14,137,,07/01/2020,06/30/2022
PSI_10,Postoperative acute kidney injury requiring dialysis rate,1.57,25,2608,4,340,,07/01/2020,06/30/2022
PSI_11,Postoperative respiratory failure rate,8.86,111,2482,57,327,,07/01/2020,06/30/2022
PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,3.63,74,2902,16,135,,07/01/2020,06/30/2022
PSI_13,Postoperative sepsis rate,5.28,37,2540,15,348,,07/01/2020,06/30/2022
PSI_14,Postoperative wound dehiscence rate,2.01,9,2614,0,397,,07/01/2020,06/30/2022
PSI_15,Abdominopelvic accidental puncture or laceration rate,1.10,34,2931,3,181,,07/01/2020,06/30/2022
PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1.00,160,2837,77,Not Available,,07/01/2020,06/30/2022
